Key,Layer Type,Segment,Cost Type,Cost Object,Spend type,Market Segment,Internal Staff,External Staff,SW Depreciation,HW Depreciation,SW Maintenance,HW Maintenance,Leased Lines,Other IT Cost,Other OOE,Total
1,Direct,Energy,0,KST 1485            Energy IT London,Run,Commodities,28,0,0,0,0,0,0,0,0,28
2,Direct,Energy,0,KST 1485            Energy IT London,Run,Result,28,0,0,0,0,0,0,0,0,28
3,Shared Layer,Overhead,Other,KST 1600            Market Operations,Run,Cash,-29,0,0,0,0,0,0,0,-1,-30
4,Shared Layer,Overhead,Other,KST 1600            Market Operations,Run,Clearstream,-978,0,0,0,0,0,0,0,-26,"-1,005"
5,Shared Layer,Overhead,Other,KST 1600            Market Operations,Run,Data,-43,0,0,0,0,0,0,0,-1,-45
6,Shared Layer,Overhead,Other,KST 1600            Market Operations,Run,Eurex,-58,0,0,0,0,0,0,0,-2,-60
7,Shared Layer,Overhead,Other,KST 1600            Market Operations,Run,GSF,-57,0,0,0,0,0,0,0,-2,-58
8,Shared Layer,Overhead,Other,KST 1600            Market Operations,Run,IFS,-284,0,0,0,0,0,0,0,-8,-292
9,Shared Layer,Overhead,Other,KST 1600            Market Operations,Run,Result,"-1,449",0,0,0,0,0,0,0,-39,"-1,489"
10,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,Cash,-79,0,0,0,0,0,0,0,0,-79
11,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,Clearstream,-69,0,0,0,0,0,0,0,0,-69
12,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,Data,-20,0,0,0,0,0,0,0,0,-20
13,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,Eurex,-91,0,0,0,0,0,0,0,0,-91
14,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,Foreign Exchange,-3,0,0,0,0,0,0,0,0,-3
15,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,GSF,-24,0,0,0,0,0,0,0,0,-24
16,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,IFS,-5,0,0,0,0,0,0,0,0,-5
17,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,Index,-40,0,0,0,0,0,0,0,0,-40
18,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,Result,-329,0,0,0,0,0,0,0,0,-330
19,Shared Layer,Overhead,Other,KST 2300            CIO,Run,Cash,-728,-225,0,0,-1,0,0,0,-34,-989
20,Shared Layer,Overhead,Other,KST 2300            CIO,Run,Clearstream,"-2,096",-647,0,0,-1,0,0,0,-99,"-2,845"
21,Shared Layer,Overhead,Other,KST 2300            CIO,Run,Data,-572,-177,0,0,0,0,0,0,-27,-777
22,Shared Layer,Overhead,Other,KST 2300            CIO,Run,Eurex,"-2,698",-833,0,-1,-2,0,0,-1,-128,"-3,662"
23,Shared Layer,Overhead,Other,KST 2300            CIO,Run,GSF,-297,-92,0,0,0,0,0,0,-14,-403
24,Shared Layer,Overhead,Other,KST 2300            CIO,Run,IFS,-609,-188,0,0,0,0,0,0,-29,-827
25,Shared Layer,Overhead,Other,KST 2300            CIO,Run,Index,-431,-133,0,0,0,0,0,0,-20,-585
26,Shared Layer,Overhead,Other,KST 2300            CIO,Run,Result,"-7,433","-2,295",0,-2,-5,0,0,-2,-351,"-10,087"
27,Shared Layer,Overhead,CIO/Exec. Office,KST 2301            Application & Archit,Run,Cash,0,0,0,0,0,0,0,0,0,0
28,Shared Layer,Overhead,CIO/Exec. Office,KST 2301            Application & Archit,Run,Clearstream,-1,0,0,0,0,0,0,0,0,-1
29,Shared Layer,Overhead,CIO/Exec. Office,KST 2301            Application & Archit,Run,Data,0,0,0,0,0,0,0,0,0,0
30,Shared Layer,Overhead,CIO/Exec. Office,KST 2301            Application & Archit,Run,Eurex,-1,0,0,0,0,0,0,0,0,-1
31,Shared Layer,Overhead,CIO/Exec. Office,KST 2301            Application & Archit,Run,GSF,0,0,0,0,0,0,0,0,0,0
32,Shared Layer,Overhead,CIO/Exec. Office,KST 2301            Application & Archit,Run,IFS,0,0,0,0,0,0,0,0,0,0
33,Shared Layer,Overhead,CIO/Exec. Office,KST 2301            Application & Archit,Run,Index,0,0,0,0,0,0,0,0,0,0
34,Shared Layer,Overhead,CIO/Exec. Office,KST 2301            Application & Archit,Run,Result,-4,0,0,0,0,0,0,0,0,-4
35,Shared Layer,Overhead,CIO/Exec. Office,KST 2304            IT Executive Office,Run,Cash,-93,-11,-1,-9,0,0,0,0,-10,-123
36,Shared Layer,Overhead,CIO/Exec. Office,KST 2304            IT Executive Office,Run,Clearstream,-268,-31,-2,-25,0,0,0,0,-28,-355
37,Shared Layer,Overhead,CIO/Exec. Office,KST 2304            IT Executive Office,Run,Data,-73,-8,-1,-7,0,0,0,0,-8,-97
38,Shared Layer,Overhead,CIO/Exec. Office,KST 2304            IT Executive Office,Run,Eurex,-346,-40,-2,-32,0,0,0,0,-37,-457
39,Shared Layer,Overhead,CIO/Exec. Office,KST 2304            IT Executive Office,Run,GSF,-38,-4,0,-4,0,0,0,0,-4,-50
40,Shared Layer,Overhead,CIO/Exec. Office,KST 2304            IT Executive Office,Run,IFS,-78,-9,-1,-7,0,0,0,0,-8,-103
41,Shared Layer,Overhead,CIO/Exec. Office,KST 2304            IT Executive Office,Run,Index,-55,-6,0,-5,0,0,0,0,-6,-73
42,Shared Layer,Overhead,CIO/Exec. Office,KST 2304            IT Executive Office,Run,Result,-952,-110,-7,-89,0,0,0,0,-101,"-1,260"
43,Shared Layer,Security,Corporate Security,KST 2337            Security,Run,Cash,-83,0,0,-23,0,0,0,-1,-28,-135
44,Shared Layer,Security,Corporate Security,KST 2337            Security,Run,Clearstream,-281,0,0,-78,0,0,-1,-2,-95,-457
45,Shared Layer,Security,Corporate Security,KST 2337            Security,Run,Commodities,-19,0,0,-5,0,0,0,0,-7,-31
46,Shared Layer,Security,Corporate Security,KST 2337            Security,Run,Data,-54,0,0,-15,0,0,0,0,-18,-88
47,Shared Layer,Security,Corporate Security,KST 2337            Security,Run,Eurex,-277,0,0,-77,0,0,-1,-2,-93,-451
48,Shared Layer,Security,Corporate Security,KST 2337            Security,Run,Foreign Exchange,-1,0,0,0,0,0,0,0,0,-2
49,Shared Layer,Security,Corporate Security,KST 2337            Security,Run,GSF,-42,0,0,-12,0,0,0,0,-14,-68
50,Shared Layer,Security,Corporate Security,KST 2337            Security,Run,IFS,-185,0,0,-51,0,0,-1,-1,-63,-302
51,Shared Layer,Security,Corporate Security,KST 2337            Security,Run,Index,-23,0,0,-6,0,0,0,0,-8,-38
52,Shared Layer,Security,Corporate Security,KST 2337            Security,Run,Result,-966,0,0,-268,0,0,-5,-7,-326,"-1,571"
53,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),KST 2379            Data Warehouse,Run,Cash,-203,-1,-6,-28,-6,0,0,-1,-4,-249
54,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),KST 2379            Data Warehouse,Run,Clearstream,-167,-1,-5,-23,-5,0,0,0,-3,-205
55,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),KST 2379            Data Warehouse,Run,Data,-132,-1,-4,-18,-4,0,0,0,-2,-162
56,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),KST 2379            Data Warehouse,Run,Eurex,-652,-5,-18,-90,-21,-1,0,-2,-11,-801
57,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),KST 2379            Data Warehouse,Run,Index,-56,0,-2,-8,-2,0,0,0,-1,-68
58,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),KST 2379            Data Warehouse,Run,Result,"-1,209",-9,-34,-167,-39,-2,0,-3,-21,"-1,484"
59,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6000            CS Business Manageme,Run,Cash,-128,0,0,0,0,0,0,-3,-2,-133
60,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6000            CS Business Manageme,Run,Clearstream,-98,0,0,0,0,0,0,-2,-2,-103
61,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6000            CS Business Manageme,Run,Commodities,-10,0,0,0,0,0,0,0,0,-11
62,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6000            CS Business Manageme,Run,Data,-69,0,0,0,0,0,0,-2,-1,-72
63,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6000            CS Business Manageme,Run,Eurex,-285,0,0,0,0,0,0,-7,-5,-297
64,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6000            CS Business Manageme,Run,GSF,-12,0,0,0,0,0,0,0,0,-13
65,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6000            CS Business Manageme,Run,IFS,-11,0,0,0,0,0,0,0,0,-11
66,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6000            CS Business Manageme,Run,Index,-29,0,0,0,0,0,0,-1,0,-30
67,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6000            CS Business Manageme,Run,Result,-642,-1,0,0,0,0,0,-16,-11,-671
68,Direct,Managed Services,0,KST 6119            COO Data + Services,Run,Clearstream,-107,0,0,0,0,0,0,0,0,-107
69,Direct,Managed Services,0,KST 6119            COO Data + Services,Run,Result,-107,0,0,0,0,0,0,0,0,-107
70,Direct,Clearing,0,KST 6121            Clearing & Risk IT,Run,Cash,-70,0,0,0,0,0,0,0,-4,-74
71,Direct,Clearing,0,KST 6121            Clearing & Risk IT,Run,Eurex,"-1,094",-4,0,0,0,0,0,-6,-59,"-1,163"
72,Direct,Clearing,0,KST 6121            Clearing & Risk IT,Run,Result,"-1,163",-4,0,0,0,0,0,-7,-63,"-1,237"
73,Direct,Data,0,KST 6141            AD Market Data,Run,Cash,-96,0,0,0,0,0,0,-1,-3,-99
74,Direct,Data,0,KST 6141            AD Market Data,Run,Data,-468,0,0,0,0,0,0,-4,-14,-486
75,Direct,Data,0,KST 6141            AD Market Data,Run,Eurex,-304,0,0,0,0,0,0,-2,-9,-315
76,Direct,Data,0,KST 6141            AD Market Data,Run,Index,-63,0,0,0,0,0,0,0,-2,-66
77,Direct,Data,0,KST 6141            AD Market Data,Run,Result,-931,0,0,0,0,0,0,-7,-29,-967
78,Direct,Data,0,KST 6161            Reference Data,Run,Cash,-19,-26,0,0,-2,0,0,-2,-1,-50
79,Direct,Data,0,KST 6161            Reference Data,Run,Clearstream,-16,-22,0,0,-2,0,0,-1,-1,-43
80,Direct,Data,0,KST 6161            Reference Data,Run,Data,-7,-9,0,0,-1,0,0,-1,0,-18
81,Direct,Data,0,KST 6161            Reference Data,Run,Eurex,-10,-13,0,0,-1,0,0,-1,-1,-26
82,Direct,Data,0,KST 6161            Reference Data,Run,GSF,-1,-1,0,0,0,0,0,0,0,-3
83,Direct,Data,0,KST 6161            Reference Data,Run,Index,-3,-4,0,0,0,0,0,0,0,-8
84,Direct,Data,0,KST 6161            Reference Data,Run,Result,-57,-76,0,-1,-6,0,0,-5,-3,-147
85,Direct,Cash,0,KST 6180            Cash,Run,Cash,-105,0,0,0,0,0,0,0,-2,-106
86,Direct,Cash,0,KST 6180            Cash,Run,Result,-105,0,0,0,0,0,0,0,-2,-106
87,Direct,Derivatives,0,KST 6181            Trading IT,Run,Cash,-401,-1,0,0,0,0,0,0,-44,-447
88,Direct,Derivatives,0,KST 6181            Trading IT,Run,Eurex,-936,-3,0,0,0,0,0,-1,-102,"-1,042"
89,Direct,Derivatives,0,KST 6181            Trading IT,Run,Result,"-1,337",-5,0,0,0,0,0,-1,-146,"-1,489"
90,Direct,Cash,0,KST 6183            Cash IT Pre IPO,Run,Cash,-75,0,0,0,0,0,0,0,-1,-77
91,Direct,Cash,0,KST 6183            Cash IT Pre IPO,Run,Eurex,-50,0,0,0,0,0,0,0,-1,-51
92,Direct,Cash,0,KST 6183            Cash IT Pre IPO,Run,Result,-126,0,0,0,0,0,0,0,-2,-128
93,Direct,Settlement,0,KST 6210            IT - Consulting,Run,Cash,-21,0,0,0,0,0,0,0,0,-21
94,Direct,Settlement,0,KST 6210            IT - Consulting,Run,Clearstream,-58,0,0,0,0,0,0,0,0,-58
95,Direct,Settlement,0,KST 6210            IT - Consulting,Run,Data,-16,0,0,0,0,0,0,0,0,-16
96,Direct,Settlement,0,KST 6210            IT - Consulting,Run,Eurex,-83,0,0,0,0,0,0,0,0,-84
97,Direct,Settlement,0,KST 6210            IT - Consulting,Run,GSF,-8,0,0,0,0,0,0,0,0,-8
98,Direct,Settlement,0,KST 6210            IT - Consulting,Run,IFS,-14,0,0,0,0,0,0,0,0,-15
99,Direct,Settlement,0,KST 6210            IT - Consulting,Run,Index,-12,0,0,0,0,0,0,0,0,-12
100,Direct,Settlement,0,KST 6210            IT - Consulting,Run,Result,-213,0,0,0,0,0,0,0,0,-213
101,Direct,Risk,0,KST 6213            Risk IT DBAG,Run,Eurex,-577,-1,0,0,-18,0,0,0,-24,-620
102,Direct,Risk,0,KST 6213            Risk IT DBAG,Run,Result,-577,-1,0,0,-18,0,0,0,-24,-620
103,Direct,Asset Servicing,0,KST 6214            DBAG Asset Servicing,Run,Cash,-1,0,0,0,0,0,0,0,0,-1
104,Direct,Asset Servicing,0,KST 6214            DBAG Asset Servicing,Run,Clearstream,-23,0,0,0,0,0,0,0,0,-23
105,Direct,Asset Servicing,0,KST 6214            DBAG Asset Servicing,Run,Commodities,0,0,0,0,0,0,0,0,0,0
106,Direct,Asset Servicing,0,KST 6214            DBAG Asset Servicing,Run,Data,-1,0,0,0,0,0,0,0,0,-1
107,Direct,Asset Servicing,0,KST 6214            DBAG Asset Servicing,Run,Eurex,-3,0,0,0,0,0,0,0,0,-3
108,Direct,Asset Servicing,0,KST 6214            DBAG Asset Servicing,Run,GSF,-4,0,0,0,0,0,0,0,0,-4
109,Direct,Asset Servicing,0,KST 6214            DBAG Asset Servicing,Run,IFS,-5,0,0,0,0,0,0,0,0,-5
110,Direct,Asset Servicing,0,KST 6214            DBAG Asset Servicing,Run,Index,0,0,0,0,0,0,0,0,0,0
111,Direct,Asset Servicing,0,KST 6214            DBAG Asset Servicing,Run,Result,-36,0,0,0,0,0,0,0,0,-36
112,Direct,Energy,0,KST 6312            Energy IT,Run,Commodities,-740,-49,-24,0,-7,0,0,-1,-398,"-1,219"
113,Direct,Energy,0,KST 6312            Energy IT,Run,Result,-740,-49,-24,0,-7,0,0,-1,-398,"-1,219"
114,Direct,Energy,0,KST 6313            Energy Technical Ops,Run,Commodities,-234,0,0,0,0,0,0,0,-46,-280
115,Direct,Energy,0,KST 6313            Energy Technical Ops,Run,Result,-234,0,0,0,0,0,0,0,-46,-280
116,Direct,Clearing,0,KST 6331            C&R External MSP Res,Run,Eurex,0,0,0,-46,0,0,0,0,0,-46
117,Direct,Clearing,0,KST 6331            C&R External MSP Res,Run,Result,0,0,0,-46,0,0,0,0,0,-46
118,Direct,Clearing,0,KST 6333            IT Ops Clearing,Run,Cash,-225,0,0,0,0,0,0,0,-7,-232
119,Direct,Clearing,0,KST 6333            IT Ops Clearing,Run,Eurex,-500,0,0,0,0,0,0,0,-15,-516
120,Direct,Clearing,0,KST 6333            IT Ops Clearing,Run,Result,-725,0,0,0,0,0,0,0,-22,-747
121,Direct,Clearing,0,KST 6334            Service Mgt Clearing,Run,Cash,-8,0,0,0,0,0,0,0,0,-8
122,Direct,Clearing,0,KST 6334            Service Mgt Clearing,Run,Eurex,-94,0,0,0,0,0,0,0,-4,-98
123,Direct,Clearing,0,KST 6334            Service Mgt Clearing,Run,Result,-101,0,0,0,0,0,0,0,-5,-106
124,Shared Layer,Shared Infr.,Digital Workplace,KST 6361            Office Automation IT,Run,Cash,-75,0,0,-3,0,0,0,-4,-38,-120
125,Shared Layer,Shared Infr.,Digital Workplace,KST 6361            Office Automation IT,Run,Clearstream,-265,0,0,-11,0,0,0,-14,-134,-424
126,Shared Layer,Shared Infr.,Digital Workplace,KST 6361            Office Automation IT,Run,Commodities,-18,0,0,-1,0,0,0,-1,-9,-28
127,Shared Layer,Shared Infr.,Digital Workplace,KST 6361            Office Automation IT,Run,Data,-51,0,0,-2,0,0,0,-3,-26,-82
128,Shared Layer,Shared Infr.,Digital Workplace,KST 6361            Office Automation IT,Run,Eurex,-264,0,0,-11,0,0,0,-14,-133,-423
129,Shared Layer,Shared Infr.,Digital Workplace,KST 6361            Office Automation IT,Run,Foreign Exchange,-1,0,0,0,0,0,0,0,0,-1
130,Shared Layer,Shared Infr.,Digital Workplace,KST 6361            Office Automation IT,Run,GSF,-40,0,0,-2,0,0,0,-2,-20,-64
131,Shared Layer,Shared Infr.,Digital Workplace,KST 6361            Office Automation IT,Run,IFS,-175,0,0,-7,0,0,0,-9,-88,-280
132,Shared Layer,Shared Infr.,Digital Workplace,KST 6361            Office Automation IT,Run,Index,-38,0,0,-2,0,0,0,-2,-19,-61
133,Shared Layer,Shared Infr.,Digital Workplace,KST 6361            Office Automation IT,Run,Result,-927,0,0,-39,0,0,0,-49,-468,"-1,483"
134,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6362            SAP,Run,Cash,-148,-20,-27,-16,-158,0,0,-20,-2,-392
135,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6362            SAP,Run,Clearstream,-638,-86,-115,-70,-678,0,0,-87,-10,"-1,683"
136,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6362            SAP,Run,Commodities,-28,-4,-5,-3,-30,0,0,-4,0,-75
137,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6362            SAP,Run,Data,-97,-13,-17,-11,-103,0,0,-13,-2,-255
138,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6362            SAP,Run,Eurex,-423,-57,-76,-46,-450,0,0,-58,-7,"-1,117"
139,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6362            SAP,Run,Foreign Exchange,-2,0,0,0,-2,0,0,0,0,-5
140,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6362            SAP,Run,GSF,-95,-13,-17,-10,-101,0,0,-13,-1,-250
141,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6362            SAP,Run,IFS,-422,-57,-76,-46,-448,0,0,-57,-7,"-1,114"
142,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6362            SAP,Run,Index,-40,-5,-7,-4,-42,0,0,-5,-1,-105
143,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6362            SAP,Run,Result,"-1,893",-255,-341,-207,"-2,010",0,0,-258,-30,"-4,994"
144,Shared Layer,Shared Infr.,Digital Workplace,KST 6363            OA PC IT,Run,Cash,0,-6,-44,-176,-252,-3,0,-292,-4,-778
145,Shared Layer,Shared Infr.,Digital Workplace,KST 6363            OA PC IT,Run,Clearstream,-1,-23,-156,-623,-890,-9,0,"-1,034",-14,"-2,750"
146,Shared Layer,Shared Infr.,Digital Workplace,KST 6363            OA PC IT,Run,Commodities,0,-2,-10,-41,-59,-1,0,-69,-1,-183
147,Shared Layer,Shared Infr.,Digital Workplace,KST 6363            OA PC IT,Run,Data,0,-4,-30,-120,-171,-2,0,-199,-3,-529
148,Shared Layer,Shared Infr.,Digital Workplace,KST 6363            OA PC IT,Run,Eurex,-1,-23,-155,-621,-888,-9,0,"-1,031",-14,"-2,742"
149,Shared Layer,Shared Infr.,Digital Workplace,KST 6363            OA PC IT,Run,Foreign Exchange,0,0,-1,-2,-3,0,0,-4,0,-10
150,Shared Layer,Shared Infr.,Digital Workplace,KST 6363            OA PC IT,Run,GSF,0,-3,-23,-94,-134,-1,0,-155,-2,-413
151,Shared Layer,Shared Infr.,Digital Workplace,KST 6363            OA PC IT,Run,IFS,0,-15,-103,-412,-588,-6,0,-683,-9,"-1,817"
152,Shared Layer,Shared Infr.,Digital Workplace,KST 6363            OA PC IT,Run,Index,0,-3,-22,-89,-128,-1,0,-148,-2,-394
153,Shared Layer,Shared Infr.,Digital Workplace,KST 6363            OA PC IT,Run,Result,-2,-80,-545,"-2,179","-3,113",-32,0,"-3,615",-50,"-9,616"
154,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6366            Corporate Systems Op,Run,Cash,-77,0,0,0,-2,0,0,-10,-4,-92
155,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6366            Corporate Systems Op,Run,Clearstream,-64,0,0,0,-1,0,0,-8,-4,-77
156,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6366            Corporate Systems Op,Run,Commodities,-4,0,0,0,0,0,0,0,0,-4
157,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6366            Corporate Systems Op,Run,Data,-44,0,0,0,-1,0,0,-6,-2,-53
158,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6366            Corporate Systems Op,Run,Eurex,-236,0,0,0,-5,0,0,-29,-13,-283
159,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6366            Corporate Systems Op,Run,GSF,-6,0,0,0,0,0,0,-1,0,-8
160,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6366            Corporate Systems Op,Run,IFS,-5,0,0,0,0,0,0,-1,0,-7
161,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6366            Corporate Systems Op,Run,Index,-19,0,0,0,0,0,0,-2,-1,-22
162,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,KST 6366            Corporate Systems Op,Run,Result,-455,0,0,0,-9,0,0,-57,-25,-547
163,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6372            Corporate Tools,Run,Cash,-33,0,0,-1,0,0,0,-2,0,-36
164,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6372            Corporate Tools,Run,Clearstream,-112,0,0,-2,-1,0,0,-6,-1,-122
165,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6372            Corporate Tools,Run,Commodities,-8,0,0,0,0,0,0,0,0,-8
166,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6372            Corporate Tools,Run,Data,-22,0,0,0,0,0,0,-1,0,-23
167,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6372            Corporate Tools,Run,Eurex,-110,0,0,-2,-1,0,0,-6,-1,-120
168,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6372            Corporate Tools,Run,Foreign Exchange,0,0,0,0,0,0,0,0,0,0
169,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6372            Corporate Tools,Run,GSF,-17,0,0,0,0,0,0,-1,0,-18
170,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6372            Corporate Tools,Run,IFS,-74,0,0,-1,-1,0,0,-4,-1,-80
171,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6372            Corporate Tools,Run,Index,-9,0,0,0,0,0,0,0,0,-10
172,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,KST 6372            Corporate Tools,Run,Result,-386,0,0,-7,-3,0,0,-20,-3,-419
173,Shared Layer,Overhead,CIO/Exec. Office,KST 6411            VMS&Xetra/Eurex Op.,Run,Cash,-6,0,0,-8,0,0,0,0,-1,-14
174,Shared Layer,Overhead,CIO/Exec. Office,KST 6411            VMS&Xetra/Eurex Op.,Run,Eurex,-9,0,0,-12,0,0,0,0,-1,-22
175,Shared Layer,Overhead,CIO/Exec. Office,KST 6411            VMS&Xetra/Eurex Op.,Run,Result,-15,0,0,-20,0,0,0,0,-2,-36
176,Direct,Settlement,0,KST 6421            z/OS & CSDOperations,Run,Cash,-84,-2,0,0,0,0,0,0,-2,-88
177,Direct,Settlement,0,KST 6421            z/OS & CSDOperations,Run,Clearstream,-649,-17,0,0,0,0,0,0,-13,-679
178,Direct,Settlement,0,KST 6421            z/OS & CSDOperations,Run,Eurex,-266,-7,0,0,0,0,0,0,-5,-278
179,Direct,Settlement,0,KST 6421            z/OS & CSDOperations,Run,Result,-999,-27,0,0,0,0,0,0,-20,"-1,045"
180,Shared Layer,Shared Infr.,Other Infr.,KST 6431            Networks DBS,Run,Cash,-74,0,0,0,-36,0,0,0,-6,-116
181,Shared Layer,Shared Infr.,Other Infr.,KST 6431            Networks DBS,Run,Clearstream,-89,0,0,0,-43,0,0,0,-7,-139
182,Shared Layer,Shared Infr.,Other Infr.,KST 6431            Networks DBS,Run,Commodities,-19,0,0,0,-9,0,0,0,-1,-30
183,Shared Layer,Shared Infr.,Other Infr.,KST 6431            Networks DBS,Run,Data,-66,0,0,0,-32,0,0,0,-5,-104
184,Shared Layer,Shared Infr.,Other Infr.,KST 6431            Networks DBS,Run,Eurex,-212,0,0,0,-103,0,0,0,-16,-332
185,Shared Layer,Shared Infr.,Other Infr.,KST 6431            Networks DBS,Run,Foreign Exchange,-1,0,0,0,-1,0,0,0,0,-2
186,Shared Layer,Shared Infr.,Other Infr.,KST 6431            Networks DBS,Run,GSF,-7,0,0,0,-3,0,0,0,-1,-10
187,Shared Layer,Shared Infr.,Other Infr.,KST 6431            Networks DBS,Run,IFS,-8,0,0,0,-4,0,0,0,-1,-12
188,Shared Layer,Shared Infr.,Other Infr.,KST 6431            Networks DBS,Run,Result,-476,-1,0,0,-232,0,0,0,-36,-746
189,Shared Layer,Shared Infr.,Digital Workplace,KST 6432            Telephone,Run,Cash,0,0,-5,-49,-48,0,18,-56,-9,-149
190,Shared Layer,Shared Infr.,Digital Workplace,KST 6432            Telephone,Run,Clearstream,0,0,-19,-174,-168,-2,65,-199,-31,-527
191,Shared Layer,Shared Infr.,Digital Workplace,KST 6432            Telephone,Run,Commodities,0,0,-1,-12,-11,0,4,-13,-2,-35
192,Shared Layer,Shared Infr.,Digital Workplace,KST 6432            Telephone,Run,Data,0,0,-4,-33,-32,0,12,-38,-6,-101
193,Shared Layer,Shared Infr.,Digital Workplace,KST 6432            Telephone,Run,Eurex,0,0,-19,-173,-168,-2,65,-199,-30,-526
194,Shared Layer,Shared Infr.,Digital Workplace,KST 6432            Telephone,Run,Foreign Exchange,0,0,0,-1,-1,0,0,-1,0,-2
195,Shared Layer,Shared Infr.,Digital Workplace,KST 6432            Telephone,Run,GSF,0,0,-3,-26,-25,0,10,-30,-5,-79
196,Shared Layer,Shared Infr.,Digital Workplace,KST 6432            Telephone,Run,IFS,0,0,-12,-115,-111,-1,43,-132,-20,-348
197,Shared Layer,Shared Infr.,Digital Workplace,KST 6432            Telephone,Run,Index,0,0,-3,-25,-24,0,9,-29,-4,-76
198,Shared Layer,Shared Infr.,Digital Workplace,KST 6432            Telephone,Run,Result,0,0,-65,-607,-588,-6,227,-697,-107,"-1,843"
199,Shared Layer,Shared Infr.,Other Infr.,KST 6434            Infrastructure Sup.,Run,Cash,-200,-40,-22,-64,0,0,0,-13,-78,-417
